name,activity_year,type_name,hfc_emission_factor
2008 Light-duty trucks,2008,Light-duty trucks,0.016
2008 Passenger cars,2008,Passenger cars,0.009
2009 Light-duty trucks,2009,Light-duty trucks,0.015
2009 Passenger cars,2009,Passenger cars,0.007
